Day,Date,Layer,Name,Tags,Latitude,Longitude,SearchQuery,Notes
D12,Fri 16 Oct,1 · Bases & hotels,Venice — stay in Dorsoduro or Cannaregio,#hotel #d12 #tobook #d12,45.431,12.327,Dorsoduro Venezia,"Night 16 Oct. NOT YET BOOKED. Dorsoduro for romance (Zattere at sunset), Cannaregio for easy logistics. Stay on the island, not Mestre."
D12,Fri 16 Oct,4 · Food & drink,All'Arco — San Polo 436,#food #cicchetti #closedSun #go11am #d12,45.4392,12.3345,All'Arco Venezia San Polo,"D13, 11:00. Standing-room counter, no written menu, everything made that morning. EUR1.50-4 each. NO RESERVATIONS, CLOSED SUNDAY, and the shutters come down ~14:00 when the trays are empty."
D12,Fri 16 Oct,4 · Food & drink,Osteria alla Vedova — Cannaregio,#food #cicchetti #thepolpetta #d12,45.4426,12.3339,Osteria alla Vedova Venezia,D12 evening. The legendary deep-fried polpetta. EUR2-5 a cicchetto. Closed Thursday (fine for you). Carry cash.
D12,Fri 16 Oct,4 · Food & drink,Vino Vero — Fondamenta Misericordia,#food #naturalwine #daily #d12,45.445,12.327,Vino Vero Venezia,"D12 evening. Natural wine bar, crostini with stracciatella, anchovy, lardo. Open daily 12:00-24:00."
D12,Fri 16 Oct,4 · Food & drink,Al Timon — Fondamenta dei Ormesini,#food #spritz #canalside #d12,45.4455,12.3245,Al Timon Venezia,D12 evening. Everyone sits on the canal edge and on the moored boat. Daily 11:00-01:00.
D12,Fri 16 Oct,4 · Food & drink,Antiche Carampane — the big dinner,#food #booknow #closedSunMon #d12,45.4383,12.33,Antiche Carampane Venezia,"D12, 20:30. The one with the sign saying no pizza, no lasagne, no tourist menu. Outstanding fried fish. ~EUR70-90pp. BOOK WEEKS AHEAD. Closed Sun-Mon, so Friday works."
D12,Fri 16 Oct,2 · Main plan — sights & hikes,Tronchetto parking — Venice,#parking #EUR29 #maxheight210 #d12,45.443,12.301,Venezia Tronchetto Parking,"D12, arrive ~14:00. EUR29 per 24h, covered, 3,483 spaces. MAX HEIGHT 2.10 m — check your car isn't a tall SUV. Easiest arrival: you never leave the causeway. People Mover to Piazzale Roma ~EUR1.50."
D12,Fri 16 Oct,2 · Main plan — sights & hikes,Rialto market,#market #saturday #morning #d12,45.44,12.335,Mercato di Rialto Venezia,"D13, 09:00. Saturday morning is the good one — fish, produce, noise. All'Arco is a minute away."
D12,Fri 16 Oct,5 · Rain & cold fallbacks,Gallerie dell'Accademia — Venice,#rain #indoor #dorsoduro #d12,45.4314,12.328,Gallerie dell'Accademia Venezia,"D12 rain plan, minutes from a Dorsoduro hotel. Venice is genuinely rain-proof; the October risk is ACQUA ALTA, not rain. Check the city tide forecast the night before and buy rubber overshoes."
D12,Fri 16 Oct,5 · Rain & cold fallbacks,Peggy Guggenheim Collection,#rain #indoor #dorsoduro #d12,45.4308,12.3316,Peggy Guggenheim Collection Venezia,"D12 rain plan. Modern art on the Grand Canal, a few minutes from the Accademia."
D12,Fri 16 Oct,5 · Rain & cold fallbacks,Scuola Grande di San Rocco — Tintoretto,#rain #indoor #underrated #d12,45.4368,12.326,Scuola Grande di San Rocco Venezia,"D12 rain plan. Tintoretto's entire cycle, in the room he painted it for. One of the great interiors in Europe and never crowded."
D13,Sat 17 Oct,1 · Bases & hotels,Lake Garda — south-west shore,#hotel #d13-d14 #tobook #d13,45.493,10.607,Sirmione Lago di Garda,"Nights 17-19 Oct. NOT YET BOOKED. Salo / Desenzano / Sirmione / Padenghe — all ~2h to MXP. Shortlist: Bellerive (Salo), Acquaviva (Desenzano), Villa Arcadio (Salo hills)."
D13,Sat 17 Oct,3 · Parking,Sirmione ZTL — Parcheggio Grifo / Monte Baldo,#parking #ztl #registerplate #d13,45.49,10.606,Parcheggio Monte Baldo Sirmione,"D13-14. The Sirmione peninsula is a 24/7 CAMERA ZTL, year-round. Hotel guests MUST email their plate 24-48h ahead and keep the confirmation. Non-guests park here, outside the gate."
D14,Sun 18 Oct,4 · Food & drink,Valeggio sul Mincio — 'nodo d'amore' tortellini,#food #lunch #ontheme #d14,45.352,10.735,Valeggio sul Mincio,"D14 lunch, 15 min from Peschiera. Home of tortellini di Valeggio, the love-knot, with its own legend about a nymph and a knight. About as on-theme as a honeymoon lunch gets."
D14,Sun 18 Oct,4 · Food & drink,Guerrieri Rizzardi — Bardolino,#wine #openSunday #booknow #d14,45.553,10.72,Guerrieri Rizzardi Bardolino,"D14, 15:00. Aristocratic estate, tastings DAILY 10:00-18:30 — one of the very few open on a Sunday. From ~EUR15 for 90 min. Book: visite@guerrieri-rizzardi.it."
D14,Sun 18 Oct,4 · Food & drink,Cantina Zeni wine museum — Bardolino,#wine #free #nobooking #d14,45.557,10.718,Museo del Vino Zeni Bardolino,"D14. Free museum and enoteca, no booking needed — the one drop-in option on the lake."
D14,Sun 18 Oct,2 · Main plan — sights & hikes,Grotte di Catullo — Sirmione,#sight #roman #rainbreaks #d14,45.505,10.607,Grotte di Catullo Sirmione,"D14, 09:30. Vast Roman villa ruin in an olive grove at the tip of the peninsula, water on three sides. Go early, before the coaches. OPEN RUIN — the one thing on D14 that rain ruins."
D14,Sun 18 Oct,2 · Main plan — sights & hikes,Castello Scaligero — Sirmione,#sight #castle #d14,45.493,10.607,Castello Scaligero Sirmione,"D14. Water-moated Scaliger castle guarding the entrance to the old town. Sirmione at night, once the day-trippers have gone, is the good version."
D14,Sun 18 Oct,5 · Rain & cold fallbacks,Aquaria Thermal SPA — Sirmione,#rain #spa #thermal #d14,45.494,10.608,Aquaria Thermal SPA Sirmione,"D14 RAIN PLAN, and the best one on the trip. Sulphurous thermal spring, indoor and outdoor pools, five minutes from the castle. Everything else on D14 already has a roof: the winery, the olive oil museum, the Valeggio lunch."
D14,Sun 18 Oct,5 · Rain & cold fallbacks,"Verona — Arena, Castelvecchio, Duomo",#rain #indoor #ztl #d14,45.439,10.994,Arena di Verona,"D14 rain option, 30 min from Sirmione. Mind the ZTL: Mon-Fri 10:00-13:30 and 16:00-18:00, Sat-Sun 10:00-13:30. Park at Cittadella."
D14,Sun 18 Oct,5 · Rain & cold fallbacks,Museo dell'Olio d'Oliva — Cisano,#rain #indoor #free #d14,45.53,10.73,Museo dell'Olio di Oliva Cisano Bardolino,"D14. Free museum and shop, open daily. Mid-October is the start of the Garda DOP olive harvest."
D15,Mon 19 Oct,4 · Food & drink,Zenato — Peschiera del Garda,#wine #booknow #MonSat #d15,45.446,10.705,Zenato Peschiera del Garda,"D15, 10:00. Lugana AND Valpolicella/Amarone under one roof — the best single tasting on the lake. Classic tour EUR40 (4 wines + food, 90 min). MON-SAT ONLY, booking essential."
D15,Mon 19 Oct,4 · Food & drink,"Franciacorta — Ca' del Bosco / Bellavista, Erbusco",#wine #onroute #lastlunch #d15,45.572,9.977,Ca del Bosco Erbusco Franciacorta,"D15, ~13:00. Italy's best metodo classico, ~40 min along the A4 towards MXP. Turns dead driving time into the last good thing you do. WHOEVER DRIVES DOESN'T TASTE."
